StockCode,CustomerID,Purchase
85123A,17850,1
71053,17850,1
84406B,17850,1
84029G,17850,1
84029E,17850,1
22752,17850,1
21730,17850,1
22633,17850,1
22632,17850,1
84879,13047,1
22745,13047,1
22748,13047,1
22749,13047,1
22310,13047,1
84969,13047,1
22623,13047,1
22622,13047,1
21754,13047,1
21755,13047,1
21777,13047,1
48187,13047,1
22960,13047,1
22913,13047,1
22912,13047,1
22914,13047,1
21756,13047,1
22728,12583,1
22727,12583,1
22726,12583,1
21724,12583,1
21883,12583,1
10002,12583,1
21791,12583,1
21035,12583,1
22326,12583,1
22629,12583,1
22659,12583,1
22631,12583,1
22661,12583,1
21731,12583,1
22900,12583,1
21913,12583,1
22540,12583,1
22544,12583,1
22492,12583,1
POST,12583,1
22086,13748,1
20679,17850,1
37370,17850,1
21871,17850,1
21071,17850,1
21068,17850,1
82483,17850,1
82486,17850,1
82482,17850,1
82494L,17850,1
21258,15100,1
22114,15291,1
21733,15291,1
22386,14688,1
85099C,14688,1
21033,14688,1
20723,14688,1
84997B,14688,1
84997C,14688,1
21094,14688,1
20725,14688,1
21559,14688,1
22352,14688,1
21212,14688,1
21975,14688,1
21977,14688,1
84991,14688,1
84519A,14688,1
85183B,14688,1
85071B,14688,1
21931,14688,1
21929,14688,1
22961,17809,1
22139,15311,1
84854,15311,1
22411,15311,1
82567,15311,1
21672,15311,1
22774,15311,1
22771,15311,1
71270,15311,1
22262,15311,1
22637,15311,1
21934,15311,1
21169,15311,1
21166,15311,1
21175,15311,1
37444A,15311,1
37444C,15311,1
22086,15311,1
22083,15311,1
84971S,15311,1
47580,15311,1
22261,15311,1
84832,15311,1
22644,15311,1
21533,15311,1
21557,15311,1
15056BL,15311,1
15056N,15311,1
22646,15311,1
22176,15311,1
22438,15311,1
21731,15311,1
22778,15311,1
22719,15311,1
21523,15311,1
D,14527,1
10002,16098,1
21912,16098,1
21832,16098,1
22411,16098,1
22379,16098,1
22381,16098,1
22798,16098,1
22726,16098,1
22926,16098,1
22839,16098,1
22838,16098,1
22783,16098,1
35004C,15311,1
82484,18074,1
84755,18074,1
22464,18074,1
21324,18074,1
22457,18074,1
22469,18074,1
22470,18074,1
22224,18074,1
21340,18074,1
22189,18074,1
22427,18074,1
22428,18074,1
22424,18074,1
22783,17420,1
22961,17420,1
22960,17420,1
22663,17420,1
85049A,17420,1
22168,17420,1
22662,17420,1
84880,16029,1
85099C,16029,1
85099B,16029,1
79321,16029,1
22780,16029,1
22779,16029,1
22466,16029,1
21731,16029,1
21754,16250,1
21755,16250,1
